,0
317,Harlingen_Netherlands
318,Harmac_Canada
319,Haydarpasa_Turkey
320,Haypoint_Australia
321,Helsingborg_Sweden
322,Helsinki_Finland
323,Higashi-Harima_Japan
324,Himeji_Japan
325,Hiroshima_Japan
326,Hitachi_Japan
327,Hofu_Japan
328,Homikawa_Japan
329,Hon Gai_Vietnam
330,Hong Kong_Hong Kong
331,Honiara_Solomon Islands
332,Honolulu_U.S.A.
333,Horta_Portugal
334,Hososhima Ko_Japan
335,Houston_U.S.A.
336,Huelva_Spain
337,Huizhou_China
338,Ijmuiden_Netherlands
339,Illichivsk_Ukraine
340,Imabari Ko_Japan
341,Imbituba_Brazil
342,Immingham_United Kingdom
343,Inchon_South Korea
344,Indonesia Morowali Industrial Park_Indonesia
345,Ipswich_United Kingdom
346,Iquique_Chile
347,Iraklion_Greece
348,Ishikari Bay New Port_Japan
349,Iskenderun_Turkey
350,Istanbul_Turkey
351,Itajai_Brazil
352,Itaqui_Brazil
353,Iwakuni Ko_Japan
354,Izhevskoye_Russia
355,Izmir_Turkey
356,JSW Jaigad Port Limited_India
357,Jabal Az Zannah-Ruways_United Arab Emirates
358,Jacksonville_U.S.A.
359,Jakarta_Indonesia
360,Jayapura_Indonesia
361,Jiangyin_China
362,Jiddah_Saudi Arabia
363,Jinzhou Wan_China
364,Johor_Malaysia
365,Kaba Burnu_Turkey
366,Kagoshima Ko_Japan
367,Kakinada Bay_India
368,Kaliningrad_Russia
369,Kalundborg_Denmark
370,Kamaishi Ko_Japan
371,Kamarajar Port_India
372,Kampong Saom_Cambodia
373,Kamsar_Guinea
374,Kanazawa_Japan
375,Kanda_Japan
376,Kandla_India
377,Kao Hsiung_Taiwan
378,Karabiga_Turkey
379,Karachi_Pakistan
380,Karaikal Port_India
381,Kashima Ko_Japan
382,Kavala_Greece
383,Kavieng Harbor_Papua New Guinea
384,Kawasaki Ko_Japan
385,Kemi_Finland
386,Kendari_Indonesia
387,Khawr Fakkan_United Arab Emirates
388,Khoms_Libya
389,Khorramshahr_Iran
390,Kiel_Germany
391,Kieta_Papua New Guinea
392,Kikuma Ko_Japan
393,Kimbe_Papua New Guinea
394,King Fahd Port_Saudi Arabia
395,Kingston_Jamaica
396,Kingston Upon Hull_United Kingdom
397,Kingstown_Saint Vincent and the Grenadines
398,Kinuura Ko_Japan
399,Kisarazu Ko_Japan
400,Klaipeda_Lithuania
401,Kobe_Japan
402,Kobenhavn_Denmark
403,Kochi (Chochin)_India
404,Kochi Ko_Japan
405,Kokkala_Finland
406,Komatsushima_Japan
407,Koper_Slovenia
408,Korsakov_Russia
409,Kota Kinabalu_Malaysia
410,Kotka_Finland
411,Krishnapatnam Port_India
412,Kristiansand_Norway
413,Kristiansund_Norway
414,Kuantan New Port_Malaysia
415,Kuching_Malaysia
416,Kunsan_South Korea
417,Kupang_Indonesia
418,Kure_Japan
419,Kushiro Ko_Japan
420,Kwajalein_Marshall Islands
421,La Baie (Port Alfred)_Canada
422,La Coruna_Spain
423,La Guaira_Venezuela
424,La Pallice_France
425,La Plata_Argentina
426,La Spezia_Italy
427,Laayoune_Western Sahara
428,Lae_Papua New Guinea
429,Lagos_Nigeria
430,Lahad Datu_Malaysia
431,Lake Charles_U.S.A.
432,Lakselv_Norway
433,Lanqiao Port_China
434,Larnaca_Cyprus
435,Larvik_Norway
436,Las Palmas_Spain
437,Lautoka Harbor_Fiji
438,Lazaro Cardenas_Mexico
439,Le Legue_France
440,Leith_United Kingdom
441,Lele Harbor_Micronesia
442,Les Sables D' Olonne_France
443,Lianyungang_China
444,Limassol_Cyprus
445,Limetree Bay_U.S. Virgin Islands
446,Lingkas_Indonesia
447,Lirquen_Chile
448,Lisboa_Portugal
449,Liverpool_United Kingdom
450,Livorno_Italy
451,Lobito_Angola
452,Lome_Toga
453,London_United Kingdom
454,London Gateway_United Kingdom
455,Londonderry_United Kingdom
456,Longkou Gang_China
457,Longyan Port_China
458,Los Angeles_U.S.A.
459,Luanda_Angola
460,Luba_Equatorial Guinea
461,Lubeck-Travemunde_Germany
462,Luderitz Bay_Namibia
463,Luganville_Vanuatu
464,Lumut_Malaysia
465,Macau_Macau
466,Madang_Papua New Guinea
467,Magam Ruhunupura Mahinda Rajapaksa Port_Sri Lanka
468,Magdalla_India
469,Mahajanga_Madagascar
470,Mailiao_Taiwan
471,Maizuro Ko_Japan
