,0
488,Iligan_Philippines
489,Illichivsk_Ukraine
490,Imabari Ko_Japan
491,Imatra_Finland
492,Imbituba_Brazil
493,Immingham_United Kingdom
494,Inchon_South Korea
495,Indiana Harbor_U.S.A.
496,Indonesia Morowali Industrial Park_Indonesia
497,Inkoo_Finland
498,Ipswich_United Kingdom
499,Iquique_Chile
500,Iraklion_Greece
501,Ishikari Bay New Port_Japan
502,Ishinomaki Ko_Japan
503,Iskenderun_Turkey
504,Istanbul_Turkey
505,Itajai_Brazil
506,Itaqui_Brazil
507,Iverness_United Kingdom
508,Iwakuni Ko_Japan
509,Izhevskoye_Russia
510,Izmir_Turkey
511,JSW Jaigad Port Limited_India
512,Jabal Az Zannah-Ruways_United Arab Emirates
513,Jacksonville_U.S.A.
514,Jakarta_Indonesia
515,Jakobstad_Finland
516,Jayapura_Indonesia
517,Jiangyin_China
518,Jiddah_Saudi Arabia
519,Jiddah Oil_Saudi Arabia
520,Jimenez_Philippines
521,Jinzhou Wan_China
522,Joensuu_Finland
523,Johor_Malaysia
524,Jose Terminal_Venezuela
525,Joutseno_Finland
526,Ju Aymah LPG Terminal_Saudi Arabia
527,Kaba Burnu_Turkey
528,Kagoshima Ko_Japan
529,Kakinada Bay_India
530,Kaliningrad_Russia
531,Kalmar_Sweden
532,Kalundborg_Denmark
533,Kamaishi Ko_Japan
534,Kamarajar Port_India
535,Kampong Saom_Cambodia
536,Kamsar_Guinea
537,Kanazawa_Japan
538,Kanda_Japan
539,Kandalaksha_Russia
540,Kandla_India
541,Kao Hsiung_Taiwan
542,Karabiga_Turkey
543,Karachi_Pakistan
544,Karaikal Port_India
545,Karatsu_Japan
546,Karlshamn_Sweden
547,Karsto_Norway
548,Kashima Ko_Japan
549,Kasim Terminal_Indonesia
550,Kaskinen_Finland
551,Kaukas_Finland
552,Kavala_Greece
553,Kavieng Harbor_Papua New Guinea
554,Kavkaz Oil Terminal_Russia
555,Kawasaki Ko_Japan
556,Kemaman Harbor_Malaysia
557,Kemi_Finland
558,Kendari_Indonesia
559,Kerch_Ukraine
560,Khalifa Bin Salman_Bahrain
561,Khawr Fakkan_United Arab Emirates
562,Khoms_Libya
563,Khorramshahr_Iran
564,Kiel_Germany
565,Kieta_Papua New Guinea
566,Kiire_Japan
567,Kikuma Ko_Japan
568,Kilifi_Kenya
569,Kimbe_Papua New Guinea
570,King Fahd Port_Saudi Arabia
571,King's Lynn_United Kingdom
572,Kingston_Jamaica
573,Kingston Upon Hull_United Kingdom
574,Kingstown_Saint Vincent and the Grenadines
575,Kinuura Ko_Japan
576,Kiribati_Kiribati
577,Kirteh Oil Terminal_Malaysia
578,Kisarazu Ko_Japan
579,Klaipeda_Lithuania
580,Klein Point_Australia
581,Kobe_Japan
582,Kobenhavn_Denmark
583,Kochi (Chochin)_India
584,Kochi Ko_Japan
585,Koge_Denmark
586,Kokkala_Finland
587,Koko_Nigeria
588,Kolding_Denmark
589,Komatsushima_Japan
590,Kondopoga_Russia
591,Koolan_Australia
592,Koper_Slovenia
593,Koror_Palau
594,Korsakov_Russia
595,Kota Baru_Indonesia
596,Kota Kinabalu_Malaysia
597,Kotka_Finland
598,Kralendijk_Bonaire
599,Krishnapatnam Port_India
600,Kristiansand_Norway
601,Kristiansund_Norway
602,Kuala Belait_Brunei
603,Kuantan New Port_Malaysia
604,Kuching_Malaysia
605,Kudamatsu_Japan
606,Kulevi Oil Terminal_Georgia
607,Kunda_Estonia
608,Kunsan_South Korea
609,Kupang_Indonesia
610,Kure_Japan
611,Kushiro Ko_Japan
612,Kwajalein_Marshall Islands
613,Kyrenia_Turkey
614,LNG Tangguh_Indonesia
615,La Baie (Port Alfred)_Canada
616,La Ceiba_Honduras
617,La Coruna_Spain
618,La Guaira_Venezuela
619,La Libertad_Ecuador
620,La Pallice_France
621,La Plata_Argentina
622,La Spezia_Italy
623,Laayoune_Western Sahara
624,Lae_Papua New Guinea
625,Lafarge_Indonesia
626,Lagos_Nigeria
627,Lagos_Portugal
628,Lahad Datu_Malaysia
629,Lake Charles_U.S.A.
630,Lakselv_Norway
631,Lamu_Kenya
632,Lanqiao Port_China
633,Larnaca_Cyprus
634,Larvik_Norway
635,Las Palmas_Spain
636,Lautoka Harbor_Fiji
637,Lazaro Cardenas_Mexico
638,Le Legue_France
639,Leith_United Kingdom
640,Lele Harbor_Micronesia
641,Lerwick_United Kingdom
642,Les Sables D' Olonne_France
643,Levuka_Fiji
644,Lianyungang_China
645,Libreville_Gabon
646,Liepaja_Latvia
647,Limassol_Cyprus
648,Limerick_Ireland
