id,port,country
385,Gemlik,Turkey
386,General Santos,Philippines
387,Genova,Italy
388,Georgetown,Bahamas
389,Georgetown,Cayman Islands
390,Georgetown,Guyana
391,Geraldton,Australia
392,Ghazaquet,Algeria
393,Ghent,Belgium
394,Gijon,Spain
395,Gioia Tauro,Italy
396,Gisborne,New Zealand
397,Gizo Harbor,Solomon Islands
398,Gladstone,Australia
399,Glasgow,United Kingdom
400,Glomfjord,Norway
401,Golcuk Burnu,Turkey
402,Golfito,Costa Rica
403,Gomen,New Caledonia
404,Goole,United Kingdom
405,Goose Bay,Canada
406,Gorgon LNG,Australia
407,Gorontalo,Indonesia
408,Goteborg,Sweden
410,Gourd Shanzui,China
411,Gove,Australia
412,Grand Haven,U.S.A.
413,Grand Isle,U.S.A.
414,Grand Turk,Turks and Caicos Islands
415,Grangemouth,United Kingdom
416,Gravesend,United Kingdom
417,Great Yarmouth,United Kingdom
418,Green Bay,U.S.A.
419,Grenaa Havn,Denmark
420,Gresik,Indonesia
421,Grimsby,United Kingdom
422,Guaiba Island Terminal,Brazil
423,Guangdong Yangjiang Port,China
424,Guangxi Beibu Gulf Port,China
425,Guangzhou,China
426,Guayaquil,Ecuador
427,Guaymas,Mexico
428,Gulfport,U.S.A.
429,Gulluk,Turkey
430,Gustavia,Saint-Barthelemy
431,Gwangyang Hang,South Korea
432,Hachinohe Ko,Japan
433,Hai Phong,Vietnam
434,Haifa,Israel
435,Haifeng power,China
436,Haikou,China
437,Haimen,China
438,Hakata,Japan
439,Hakodate Ko,Japan
440,Halden,Norway
441,Haldia Port,India
442,Halifax,Canada
443,Halmstad,Sweden
444,Hamada Ko,Japan
445,Hamburg,Germany
446,Hamilton,Canada
447,Hamina,Finland
448,Hammerfest,Norway
449,Hanko,Finland
450,Hankow,China
451,Hannan Ko,Japan
452,Harbor Yeweiju,China
453,Harlingen,Netherlands
454,Harmac,Canada
455,Haroysund,Norway
456,Haydarpasa,Turkey
457,Haypoint,Australia
458,Helsingborg,Sweden
459,Helsinki,Finland
461,Heysham,United Kingdom
462,Higashi-Harima,Japan
463,Hilo,U.S.A.
464,Himeji,Japan
465,Hiroshima,Japan
466,Hirtshals,Denmark
467,Hitachi,Japan
468,Hobart,Australia
469,Hobro,Denmark
470,Hofu,Japan
471,Homikawa,Japan
472,Hon Gai,Vietnam
473,Hong Kong,Hong Kong
474,Honiara,Solomon Islands
475,Honolulu,U.S.A.
476,Hopa,Turkey
477,Horta,Portugal
478,Horten,Norway
479,Hososhima Ko,Japan
480,Houston,U.S.A.
481,Hua-Lien Kang,Taiwan
482,Huelva,Spain
483,Huizhou,China
484,Husum,Germany
485,Husum,Sweden
486,Ijmuiden,Netherlands
487,Iligan,Philippines
488,Illichivsk,Ukraine
489,Imabari Ko,Japan
490,Imatra,Finland
491,Imbituba,Brazil
492,Immingham,United Kingdom
493,Inchon,South Korea
494,Indiana Harbor,U.S.A.
495,Indonesia Morowali Industrial Park,Indonesia
496,Inkoo,Finland
497,Ipswich,United Kingdom
498,Iquique,Chile
499,Iraklion,Greece
500,Ishikari Bay New Port,Japan
501,Ishinomaki Ko,Japan
502,Iskenderun,Turkey
503,Istanbul,Turkey
504,Itajai,Brazil
505,Itaqui,Brazil
506,Iverness,United Kingdom
507,Iwakuni Ko,Japan
508,Izhevskoye,Russia
509,Izmir,Turkey
510,JSW Jaigad Port Limited,India
511,Jabal Az Zannah-Ruways,United Arab Emirates
512,Jacksonville,U.S.A.
513,Jakarta,Indonesia
514,Jakobstad,Finland
515,Jayapura,Indonesia
516,Jiangyin,China
517,Jiddah,Saudi Arabia
518,Jiddah Oil,Saudi Arabia
519,Jimenez,Philippines
520,Jinzhou Wan,China
521,Joensuu,Finland
522,Johor,Malaysia
523,Jose Terminal,Venezuela
524,Joutseno,Finland
525,Ju Aymah LPG Terminal,Saudi Arabia
526,Kaba Burnu,Turkey
527,Kagoshima Ko,Japan
528,Kakinada Bay,India
529,Kaliningrad,Russia
530,Kalmar,Sweden
531,Kalundborg,Denmark
532,Kamaishi Ko,Japan
533,Kamarajar Port,India
534,Kampong Saom,Cambodia
535,Kamsar,Guinea
536,Kanazawa,Japan
537,Kanda,Japan
538,Kandalaksha,Russia
539,Kandla,India
540,Kao Hsiung,Taiwan
541,Karabiga,Turkey
542,Karachi,Pakistan
543,Karaikal Port,India
544,Karatsu,Japan
545,Karlshamn,Sweden
546,Karsto,Norway
547,Kashima Ko,Japan
548,Kasim Terminal,Indonesia
549,Kaskinen,Finland
550,Kaukas,Finland
551,Kavala,Greece
552,Kavieng Harbor,Papua New Guinea
553,Kavkaz Oil Terminal,Russia
554,Kawasaki Ko,Japan
555,Kemaman Harbor,Malaysia
556,Kemi,Finland
557,Kendari,Indonesia
558,Kerch,Ukraine
560,Khawr Fakkan,United Arab Emirates
561,Khoms,Libya
562,Khorramshahr,Iran
563,Kiel,Germany
564,Kieta,Papua New Guinea
565,Kiire,Japan
566,Kikuma Ko,Japan
567,Kilifi,Kenya
568,Kimbe,Papua New Guinea
569,King Fahd Port,Saudi Arabia
570,King's Lynn,United Kingdom
571,Kingston,Jamaica
572,Kingston Upon Hull,United Kingdom
573,Kingstown,Saint Vincent and the Grenadines
574,Kinuura Ko,Japan
575,Kiribati,Kiribati
576,Kirteh Oil Terminal,Malaysia
577,Kisarazu Ko,Japan
578,Klaipeda,Lithuania
