,port_country,x,y
90,Bahia Quintero (Ventanas)_Chile,-71.48427942881878,-32.76687885942577
91,Bahia San Nicolas_Peru,-75.23933148991398,-15.25814104262528
92,Bahia San Vicente_Chile,-73.12055768153456,-36.74022381947198
93,Baie Comeau_Canada,-68.14114897775937,49.246908734559824
94,Baie De Kouaoua_New Caledonia,165.8330227306943,-21.400313679747207
95,Baie Du Marigot_Saint Martin,-63.083093662416964,18.082200566196065
96,Baie Taoihae_French Polynesia,-140.09461032632953,-8.921475583106172
97,Baie Ugue_New Caledonia,165.55688108738883,-21.147517728612087
98,Bajo Grande_Venezuela,-71.57472871753188,10.454618624684406
99,Bakar_Croatia,14.542015408496434,45.28978356577448
100,Baku Port_Azerbaijan,49.680755505210286,40.262368973454834
101,Balboa_Panama,-79.5653072865059,8.954988274086032
